Ts_ns,cvs_avg_ns,err_ns
1.0,0.0013019934999360246,4.1830437465794015e-5
1.1,0.001310393849696903,3.5844886267367015e-5
1.2,0.0013150578637731592,2.7038229330592803e-5
1.3,0.0013160238657500707,1.9694413464715968e-5
1.4,0.0013136911000406557,1.8415504712349594e-5
1.5,0.001308660285977756,2.213704351344187e-5
1.6,0.0013016526745749618,2.6557567674284655e-5
1.7,0.0012934346208725168,3.0040939620438765e-5
1.8,0.0012847378749398692,3.266029437877666e-5
1.9,0.001276192777740366,3.4967163650792474e-5
2.0,0.0012682881748145465,3.744879787066408e-5
2.1,0.0012613598622637195,4.032078649447131e-5
2.2,0.0012556010418728128,4.353252384757013e-5
2.3,0.0012510857176810217,4.687896372586752e-5
2.4,0.0012477971089758417,5.011388158487433e-5
2.5,0.0012456556117353976,5.30176075898773e-5
2.6,0.0012445432163198393,5.542322931227799e-5
2.7,0.001244323066076352,5.721975302768941e-5
2.8,0.001244853980150874,5.834597558641304e-5
2.9,0.0012460004009628295,5.8781877067546274e-5
3.0,0.0012476385226161942,5.85401468756616e-5
3.1,0.0012496594401674537,5.7658598857697375e-5
3.2,0.0012519701213759072,5.61935801319376e-5
3.3,0.0012544929011410447,5.421431546728342e-5
3.4,0.0012571640712941577,5.179812210559893e-5
3.5,0.0012599320074234237,4.90264530609078e-5
3.6,0.0012627551532442447,4.598174401560529e-5
3.7,0.0012656000786958723,4.2745046888300695e-5
3.8,0.0012684397432598793,3.939443800294795e-5
3.9,0.001271252030990214,3.60041965012274e-5
4.0,0.0012740185767344564,3.264476115909909e-5
4.1,0.0012767238713994845,2.9383484568578855e-5
4.2,0.0012793546149080374,2.628618689960863e-5
4.3,0.001281899275780659,2.3419396859121253e-5
4.4,0.0012843478134159797,2.085279670085517e-5
4.5,0.0012866915208906242,1.8660497773774545e-5
4.6,0.0012889229506621166,1.691824276777298e-5
4.7,0.001291035891566237,1.5692528577556458e-5
4.8,0.0012930253719687927,1.5020623098883547e-5
4.9,0.0012948876701949171,1.4890425774710952e-5
5.0,0.0012966203190068546,1.5237003262110171e-5
5.1,0.001298222095716869,1.596195519690353e-5
5.2,0.0012996929934290886,1.6961498990992452e-5
5.3,0.0013010341719209859,1.8146157480691047e-5
5.4,0.00130224788887957,1.9447626208211863e-5
5.5,0.0013033374137089646,2.0817451346392414e-5
5.6,0.001304306927046853,2.2222762937195335e-5
5.7,0.0013051614095888368,2.364190308697075e-5
5.8,0.0013059065239334016,2.5060912031156767e-5
5.9,0.0013065484930238356,2.6470970913010714e-5
6.0,0.0013070939784586635,2.786662618134804e-5
6.1,0.0013075499615346133,2.9244585448877707e-5
6.2,0.001307923629426602,3.060291111124028e-5
6.3,0.0013082222684357835,3.194048434437709e-5
6.4,0.001308453165775863,3.3256650657845936e-5
6.5,0.0013086235209381644,3.4550986534833866e-5
6.6,0.0013087403672880657,3.582314654475405e-5
