Ts,cvs_avg,err
500,8.682439322331426e-5,1.0023745826214911e-7
490,9.044595073143636e-5,4.0898283176725367e-7
480,9.426907830371613e-5,5.654392043648016e-7
470,9.790958784630177e-5,7.455901082704049e-7
460,0.00010224315112554422,1.012529521141092e-6
450,0.0001071360100710188,9.403122576647567e-7
440,0.00011237010337407191,6.193747564286363e-7
430,0.00011810238256549103,1.4117170982026441e-6
420,0.00012311247338078754,1.0914461240199039e-6
410,0.00013049353181257076,6.739143077094726e-7
400,0.00013663919332447335,9.583798892917577e-7
390,0.00014367328268462257,1.4771792804853817e-6
380,0.000150732616281365,6.45004109217352e-7
370,0.00016043252375101856,1.6272782263032586e-6
360,0.00016855750673223238,1.571364781078329e-6
350,0.00017791239373907448,5.889696381065099e-7
340,0.00018833386086725902,2.2972537709953597e-6
330,0.00019941508715261804,4.431488721851717e-6
320,0.0002094393920030088,4.8579011475963075e-6
310,0.00021998987076708842,3.166949583405881e-6
300,0.00023069589135211367,2.3543431961499846e-6
290,0.00024224048103806592,8.14511241282566e-7
280,0.00025636582071256387,1.9669538141317525e-6
270,0.0002680565766301031,1.0240897826728777e-6
260,0.00028021373187859605,3.708296136101951e-6
250,0.000292993715312483,5.268565363198959e-6
240,0.00030842295723398417,6.597908043165988e-6
230,0.0003176392722142464,1.0653244959624851e-5
220,0.00032863670395297614,6.556942737335039e-6
210,0.00033549043485308635,5.912049297446223e-6
200,0.0003347866122348074,8.18846011874451e-6
190,0.0003405989141448638,4.578679338063244e-6
180,0.0003380192927904973,9.74319915758212e-6
170,0.00032941939335016566,1.5549405341763873e-5
160,0.00032481827211066185,2.5642903868214663e-5
150,0.0003092832811364185,1.5697199111238885e-5
140,0.00030028181551867246,2.2244618074288333e-5
130,0.00027554465466016285,1.8209230207154573e-5
120,0.00023501323369321296,4.2675358243458614e-5
110,0.00018565062166212137,1.3853736490160719e-5
100,0.00018935104596126502,1.4999451960214266e-5
90,0.00017751210705330847,1.4501660118394284e-5
80,0.00015700131032666623,2.461251653232841e-5
70,0.00015110398496724945,1.0932805984149628e-5
60,0.00019477542384990936,1.5145181490061952e-5
50,0.0002200573637889332,3.035659584750923e-5
40,0.0002119025261321151,2.0767333513858257e-5
30,0.00012986570462980104,0.00011581998826441346
20,9.234762759054938e-6,1.5995078294528103e-5
10,4.380543637843791e-30,0.0
