Ts,cvs_avg,err
1.0,9.496902692456037e-22,8.061688110330186e-24
1.1,7.86420642008048e-22,6.658627396311848e-24
1.2,7.658491904654537e-22,5.409345429926183e-24
1.3,4.29892991519835e-21,3.305200041111017e-23
1.4,7.859457231156746e-20,7.107960797444215e-22
1.5,1.07869229357827e-18,9.826840992100559e-21
1.6,1.063259085303201e-17,9.690593723651011e-20
1.7,7.950559291730678e-17,7.246458085170118e-19
1.8,4.723263290810148e-16,4.304990325269303e-18
1.9,2.312540885366661e-15,2.1077530243893814e-17
2.0,9.608714736884456e-15,8.757812645319746e-17
2.1,3.469447240493756e-14,3.162209561445862e-16
2.2,1.1099005155274817e-13,1.0116130320980938e-15
2.3,3.196506113418701e-13,2.9134388223732873e-15
2.4,8.398667258777795e-13,7.654921498844816e-15
2.5,2.0357964764530585e-12,1.8555161099754468e-14
2.6,4.5956074815835505e-12,4.188642653641059e-14
2.7,9.739141196259617e-12,8.876690378824538e-14
2.8,1.9509709571669303e-11,1.778202713377284e-13
2.9,3.7162255646484895e-11,3.387136019071497e-13
3.0,6.765470835134986e-11,6.166358845099762e-13
3.1,1.1824234966204628e-10,1.0777156050175181e-12
3.2,1.9916715003605385e-10,1.8153042802846693e-12
3.3,3.2442617993333113e-10,2.9569815332761164e-12
3.4,5.125961952372861e-10,4.672073804952326e-12
3.5,7.876859935377516e-10,7.17942933270535e-12
3.6,1.179984595739182e-9,1.0755160797059197e-11
3.7,1.7268719278535906e-9,1.57400560473796e-11
3.8,2.4735594361995607e-9,2.2546366476654984e-11
3.9,3.4737307525071025e-9,3.1663710112412966e-11
4.0,4.790056787256347e-9,4.366386926729347e-11
4.1,6.494565047644965e-9,5.92043168479233e-11
4.2,8.66884910469764e-9,7.903036706935666e-11
4.3,1.1404110544224607e-8,1.0397591136744911e-10
4.4,1.4801032049042708e-8,1.3496276510673355e-10
4.5,1.8969486162433317e-8,1.729987121458252e-10
4.6,2.4028089537747033e-8,2.191743899716831e-10
4.7,3.0103616924265404e-8,2.7465920612321696e-10
4.8,3.7330292682581287e-8,3.4069651579707657e-10
4.9,4.5848980232162926e-8,4.1859832023929916e-10
5.0,5.580629152729983e-8,5.097397656497806e-10
5.1,6.735363949131811e-8,6.155537331596188e-10
5.2,8.064625639600414e-8,7.375258126081644e-10
5.3,9.584220055425695e-8,8.771899472356066e-10
5.4,1.1310137250883767e-7,1.0361250240704443e-9
5.5,1.3258456026084878e-7,1.2159526668839093e-9
5.6,1.5445253109758434e-7,1.4183364662965667e-9
5.7,1.7886518535333187e-7,1.644982856102157e-9
5.8,2.0598078506210666e-7,1.8976438171765887e-9
5.9,2.3595526802089441e-7,2.178121561390511e-9
6.0,2.6894165534700536e-7,2.4882753184525476e-9
6.1,3.050895582431915e-7,2.8300303191061984e-9
6.2,3.4454478742751424e-7,3.205389038845092e-9
6.3,3.8744906657924607e-7,3.6164447373448875e-9
6.4,4.339398492252333e-7,4.065397299943132e-9
6.5,4.841502367622652e-7,4.554571358351849e-9
6.6,5.382089937916685e-7,5.086436637855406e-9
6.7,5.96240655637359e-7,5.663630446941467e-9
6.8,6.583657218274253e-7,6.28898219210048e-9
6.9,7.247009284367081e-7,6.965539764975432e-9
7.0,7.953595915049758e-7,7.696597610976755e-9
7.1,8.704520132505807e-7,8.485726248036333e-9
7.2,9.500859424791042e-7,9.33680296194085e-9
7.3,1.0343670804254498e-6,1.0254043361697401e-8
7.4,1.1233996232499907e-6,1.1242033436182671e-8
7.5,1.2172868325184096e-6,1.230576171389402e-8
7.6,1.316131625214435e-6,1.3450651093273164e-8
7.7,1.4200371751485404e-6,1.4682589884357009e-8
7.8,1.5291075180186278e-6,1.600796158589588e-8
7.9,1.643448152835843e-6,1.7433672917808e-8
8.0,1.7631666329363638e-6,1.89671796386239e-8
8.1,1.8883731403454996e-6,2.061650970236277e-8
8.2,2.0191810378321203e-6,2.2390283349090976e-8
8.3,2.155707393578882e-6,2.4297729777241366e-8
8.4,2.2980734739875213e-6,2.6348700111594364e-8
8.5,2.44640520073051e-6,2.8553676455676526e-8
8.6,2.600833568743367e-6,3.092377689772088e-8
8.7,2.761495022419973e-6,3.3470756421132285e-8
8.8,2.9285317878211097e-6,3.620700374981586e-8
8.9,3.1020921592299076e-6,3.914553423189647e-8
9.0,3.2823307388838207e-6,4.229997892940428e-8
9.1,3.4694086291781882e-6,4.5684570134043073e-8
9.2,3.6634935770700137e-6,4.931412356907098e-8
9.3,3.864760070810418e-6,5.320401756413899e-8
9.4,4.0733893895003485e-6,5.737016950439329e-8
9.5,4.289569606295484e-6,6.182900985830015e-8
9.6,4.513495546383941e-6,6.659745408244576e-8
9.7,4.745368701124166e-6,7.169287268799117e-8
9.8,4.985397099961689e-6,7.71330597345256e-8
9.9,5.233795141943036e-6,8.29361999950791e-8
10.0,5.490783388814714e-6,8.912083501239097e-8
10.1,5.756588321835507e-6,9.570582824304055e-8
10.2,6.031442064544194e-6,1.0271032946373787e-7
10.3,6.315582073812739e-6,1.1015373859345813e-7
10.4,6.609250801579335e-6,1.1805566906712371e-7
10.5,6.912695329698192e-6,1.2643591088097152e-7
10.6,7.226166980365272e-6,1.3531439341670552e-7
10.7,7.549920904582992e-6,1.4471114814100598e-7
10.8,7.88421565111443e-6,1.5464627126834512e-7
10.9,8.229312718349614e-6,1.6513988646845667e-7
11.0,8.585476091465942e-6,1.7621210769433335e-7
11.1,8.952971767211765e-6,1.8788300220268217e-7
11.2,9.332067268579382e-6,2.0017255383515714e-7
11.3,9.723031151562214e-6,2.1310062662615965e-7
11.4,1.012613250611144e-5,2.2668692880033843e-7
11.5,1.054164045332228e-5,2.409509772207921e-7
11.6,1.0969823640789456e-5,2.5591206234675875e-7
11.7,1.1410949737977364e-5,2.715892137572571e-7
11.8,1.186528493335261e-5,2.8800116629497544e-7
11.9,1.2333093434927735e-5,3.0516632688201587e-7
12.0,1.2814636975763925e-5,3.2310274205673376e-7
12.1,1.3310174325879556e-5,3.41828066278072e-7
12.2,1.3819960811910538e-5,3.6135953104087807e-7
12.3,1.434424784576844e-5,3.817139148429455e-7
12.4,1.4883282463443097e-5,4.02907514041224e-7
12.5,1.5437306875000327e-5,4.249561146318747e-7
12.6,1.6006558026729695e-5,4.478749649855112e-7
12.7,1.6591267176305603e-5,4.7167874956614487e-7
12.8,1.7191659481735594e-5,4.963815636590398e-7
12.9,1.7807953604782975e-5,5.219968891300035e-7
13.0,1.844036132946881e-5,5.485375712355543e-7
13.1,1.908908719617753e-5,5.76015796500759e-7
13.2,1.975432815181558e-5,6.044430716785894e-7
13.3,2.043627321639935e-5,6.338302038024912e-7
13.4,2.1135103166380258e-5,6.641872813409744e-7
13.5,2.1850990234950098e-5,6.955236564611469e-7
13.6,2.2584097829507823e-5,7.278479284055385e-7
13.7,2.333458026641206e-5,7.611679279848344e-7
13.8,2.4102582523089475e-5,7.954907031871295e-7
13.9,2.488824000751821e-5,8.308225059024562e-7
14.0,2.5691678345059762e-5,8.671687797598963e-7
14.1,2.6513013182567957e-5,9.045341490728539e-7
14.2,2.7352350009664496e-5,9.429224088867488e-7
14.3,2.8209783997032862e-5,9.823365161223222e-7
14.4,2.9085399851548854e-5,1.0227785818060976e-6
14.5,2.9979271688034797e-5,1.0642498643788634e-6
14.6,3.0891462917396276e-5,1.1067507640720372e-6
14.7,3.18220261508751e-5,1.1502808183404637e-6
14.8,3.2771003120128554e-5,1.1948386983399744e-6
14.9,3.3738424612825763e-5,1.2404222064367487e-6
15.0,3.472431042343223e-5,1.2870282747351685e-6
15.1,3.5728669318838906e-5,1.3346529646100985e-6
15.2,3.675149901847733e-5,1.3832914672288558e-6
15.3,3.779278618855107e-5,1.4329381050479202e-6
15.4,3.8852506450001965e-5,1.4835863342684794e-6
15.5,3.9930624399823626e-5,1.5352287482349176e-6
15.6,4.102709364532411e-5,1.587857081759468e-6
15.7,4.214185685093745e-5,1.6414622163564224e-6
15.8,4.327484579717706e-5,1.6960341863681767e-6
15.9,4.4425981451322e-5,1.7515621859657482e-6
16.0,4.559517404942534e-5,1.8080345770057294e-6
16.1,4.678232318923131e-5,1.865438897725073e-6
16.2,4.7987317933591244e-5,1.9237618722553257e-6
16.3,4.921003692396497e-5,1.982989420937121e-6
16.4,5.045034850359969e-5,2.043106671415792e-6
16.5,5.17081108499788e-5,2.104097970498363e-6
16.6,5.2983172116136194e-5,2.1659468967522357e-6
16.7,5.427537058043619e-5,2.228636273824952e-6
16.8,5.55845348044226e-5,2.2921481844651442e-6
16.9,5.691048379834405e-5,2.3564639852233638e-6
17.0,5.8253027193970545e-5,2.421564321811931e-6
17.1,5.961196542431763e-5,2.487429145102518e-6
17.2,6.098708990990352e-5,2.5540377277395853e-6
17.3,6.237818325116822e-5,2.6213686813478944e-6
17.4,6.378501942669078e-5,2.6893999743118578e-6
17.5,6.520736399684688e-5,2.7581089501040702e-6
17.6,6.664497431255478e-5,2.827472346140473e-6
17.7,6.809759972876537e-5,2.8974663131388718e-6
17.8,6.956498182235755e-5,2.9680664349576156e-6
17.9,7.104685461410702e-5,3.0392477488908115e-6
18.0,7.254294479440506e-5,3.110984766396264e-6
18.1,7.405297195240696e-5,3.18325149423218e-6
18.2,7.557664880830139e-5,3.2560214559781903e-6
18.3,7.711368144839496e-5,3.3292677139162547e-6
