Ts,Cv
1.0,NaN
1.1,NaN
1.2,NaN
1.3,NaN
1.4,NaN
1.5,NaN
1.6,NaN
1.7,NaN
1.8,NaN
1.9,NaN
2.0,NaN
2.1,NaN
2.2,NaN
2.3,NaN
2.4,NaN
2.5,NaN
2.6,NaN
2.7,NaN
2.8,NaN
2.9,NaN
3.0,NaN
3.1,NaN
3.2,NaN
3.3,NaN
3.4,5.6462390735148326e-6
3.5,8.676498853826845e-6
3.6,1.2997881190647117e-5
3.7,1.902199982310711e-5
3.8,2.7247096554590168e-5
3.9,3.826412188575476e-5
4.0,5.2763770101209706e-5
4.1,7.153915883977397e-5
4.2,9.548992281627125e-5
4.3,0.0001256196757807125
4.4,0.0001630382498550819
4.5,0.00020895580514051262
4.6,0.00026467938211324375
4.7,0.0003316056205963306
4.8,0.0004112134102145622
4.9,0.0005050556850381178
5.0,0.0006147478077120693
5.1,0.00074195895552525
5.2,0.0008884013959712749
5.3,0.0010558184658915595
5.4,0.0012459744013784502
5.5,0.0014606444211362733
5.6,0.0017016045705706012
5.7,0.001970622778508792
5.8,0.0022694498798581015
5.9,0.0025998131360428682
6.0,0.0029634103004917856
6.1,0.0033619034248777773
6.2,0.003796915178663686
6.3,0.004270026675468577
6.4,0.004782776334446904
6.5,0.005336656016309647
6.6,0.005933116345056601
6.7,0.006573565587194179
6.8,0.007259372066462598
6.9,0.007991868018315636
7.0,0.008772355340357496
7.1,0.009602107496892127
7.2,0.010482377538553767
7.3,0.01141440356996154
7.4,0.012399414011665734
7.5,0.013438635627251694
7.6,0.014533299160669297
7.7,0.015684648364373138
7.8,0.016893943711318755
7.9,0.01816247265590997
8.0,0.01949155419893687
8.1,0.020882546587852525
8.2,0.022336853061459685
8.3,0.023855928564915883
8.4,0.02544128322748072
8.5,0.02709449051769631
8.6,0.028817189078172732
8.7,0.03061108915636613
8.8,0.032477974833990744
8.9,0.03441970667726058
9.0,0.03643822630021273
9.1,0.03853555674629464
9.2,0.04071380363718106
9.3,0.042975157123345736
9.4,0.04532189154051968
9.5,0.04775636601901364
9.6,0.0502810213567518
9.7,0.05289838197238235
9.8,0.0556110513038429
9.9,0.058421711719921096
10.0,0.061333120037780894
10.1,0.06434810571077092
10.2,0.06746956593309378
10.3,0.07070046395157288
10.4,0.07404382175921391
10.5,0.07750271848300534
10.6,0.08108028355721908
10.7,0.08477969322685874
10.8,0.08860416331885146
10.9,0.09255694583317024
11.0,0.09664132104121044
11.1,0.1008605944114976
11.2,0.10521808803748413
11.3,0.10971713620550458
11.4,0.11436107842651896
