Ts,cvs_avg,err
1.0,-3.2764697287093668e-18,5.675012039586039e-18
1.1,0.0,0.0
1.2,-3.4129893007389246e-18,5.911470874568793e-18
1.3,-3.877478968886824e-18,3.357995289695881e-18
1.4,-3.3433364578667014e-18,2.895414305911245e-18
1.5,-2.912417536630548e-18,2.5222275731493507e-18
1.6,-6.399354938885482e-19,2.2168015779632963e-18
1.7,1.0770402222401034e-17,2.597693865751229e-18
1.8,8.342862735139592e-17,1.4470152391073194e-17
1.9,4.469976014928984e-16,7.150124285212367e-17
2.0,2.0240391749102117e-15,3.206970279755934e-16
2.1,7.888416631422155e-15,1.252679029480225e-15
2.2,2.7055922654406458e-14,4.293384001630936e-15
2.3,8.30489073806662e-14,1.317998218980736e-14
2.4,2.3133326805140947e-13,3.67121089146757e-14
2.5,5.916895426626975e-13,9.390090474128639e-14
2.6,1.4035923750041592e-12,2.2274846383335444e-13
2.7,3.11430155612998e-12,4.942374464159826e-13
2.8,6.5104157699696574e-12,1.033197990726821e-12
2.9,1.2903293544816586e-11,2.0477440410137415e-12
3.0,2.4377427708265763e-11,3.8686808038654656e-12
3.1,4.410787094603865e-11,6.999887371324471e-12
3.2,7.67490792992079e-11,1.2180024163431333e-11
3.3,1.2889277593681494e-10,2.0455191441688364e-11
3.4,2.0958759692799943e-10,3.326140176149396e-11
3.5,3.3090857718962014e-10,5.2514954978856526e-11
3.6,5.08560478893573e-10,8.070818593995604e-11
3.7,7.624958884608059e-10,1.210075569579162e-10
3.8,1.117527160289867e-9,1.77350771159883e-10
3.9,1.603910666890977e-9,2.5453949708600346e-10
4.0,2.2578825023249636e-9,3.5832437882544373e-10
4.1,3.122126540102018e-9,4.954793211309268e-10
4.2,4.246158467161539e-9,6.738624334594796e-10
4.3,5.6866128063094745e-9,9.024615764148361e-10
4.4,7.507423754952353e-9,1.1914230619166478e-9
4.5,9.779894705394214e-9,1.5520626741089527e-9
4.6,1.2582655288528764e-8,1.9968588411217114e-9
4.7,1.6001508563523097e-8,2.5394283653511446e-9
4.8,2.012917440304614e-8,3.1944856603591253e-9
4.9,2.5064938052083543e-8,3.977786928504311e-9
5.0,3.0914215255795004e-8,4.906061068523325e-9
5.1,3.778804718470723e-8,5.996929408212376e-9
5.2,4.580253965169058e-8,7.268816552449795e-9
5.3,5.507826182292754e-8,8.740854742958469e-9
5.4,6.573961982223207e-8,1.0432784161685964e-8
5.5,7.791422036744963e-8,1.2364851558489176e-8
5.6,9.173223892379616e-8,1.4557709485873506e-8
5.7,1.0732580586959725e-7,1.703231825655118e-8
5.8,1.248284229209613e-7,1.9809852544332415e-8
5.9,1.4437442062547052e-7,2.291161431688623e-8
6.0,1.660984661502428e-7,2.6358953538464128e-8
6.1,1.9013512894402144e-7,3.01731978111582e-8
6.2,2.1661851017921043e-7,3.437559187021011e-8
6.3,2.45681940215258e-7,3.898724756952845e-8
6.4,2.7745774673234053e-7,4.402910475384332e-8
6.5,3.1207709466852273e-7,4.9521903166962215e-8
6.6,3.4966989769691756e-7,5.5486165327827374e-8
6.7,3.9036479969485903e-7,6.194219010698014e-8
6.8,4.342892235438337e-7,6.891005655700311e-8
6.9,4.815694835974132e-7,7.640963740076611e-8
7.0,5.32330957330514e-7,8.446062144956072e-8
7.1,5.866983110014635e-7,9.308254412116141e-8
7.2,6.447957736133603e-7,1.0229482514685851e-7
7.3,7.067474530720602e-7,1.1211681249601472e-7
7.4,7.726776881634275e-7,1.225678315125167e-7
7.5,8.427114298327492e-7,1.336672382340886e-7
7.6,9.169746452063561e-7,1.45434475870145e-7
7.7,9.955947378701677e-7,1.5788913342516909e-7
7.8,1.078700978054661e-6,1.7105100548071476e-7
7.9,1.1664249366145268e-6,1.8494015219291846e-7
8.0,1.2589009169715236e-6,1.9957695861275506e-7
8.1,1.356266379534622e-6,2.1498219248627777e-7
8.2,1.4586623534947829e-6,2.3117705976231992e-7
8.3,1.5662338313038008e-6,2.481832571058346e-7
8.4,1.6791301415915355e-6,2.6602302077507103e-7
8.5,1.7975052967219458e-6,2.847191713065086e-7
8.6,1.9215183116562665e-6,3.042951535189664e-7
8.7,2.0513334912456127e-6,3.2477507142109845e-7
8.8,2.187120683537265e-6,3.461837176829842e-7
8.9,2.3290554971216624e-6,3.6854659739644826e-7
9.0,2.4773194809769923e-6,3.918899459253479e-7
9.1,2.632100265684116e-6,4.1624074069824315e-7
9.2,2.7935916652746915e-6,4.416267068698001e-7
9.3,2.9619937393442977e-6,4.6807631682291265e-7
9.4,3.137512815404687e-6,4.956187835440709e-7
9.5,3.320361471770214e-6,5.242840479444072e-7
9.6,3.5107584815605774e-6,5.541027602494488e-7
9.7,3.7089287186669215e-6,5.851062556157914e-7
9.8,3.915103026763366e-6,6.173265241675605e-7
9.9,4.129518052660472e-6,6.50796175677315e-7
10.0,4.352416045468388e-6,6.855483991414061e-7
10.1,4.584044623212277e-6,7.216169175219445e-7
10.2,4.8246565086573526e-6,7.590359379470877e-7
10.3,5.074509236226841e-6,7.978400976730112e-7
10.4,5.333864831972337e-6,8.380644061276972e-7
10.5,5.6029894686291065e-6,8.797441833582943e-7
10.6,5.882153097836239e-6,9.229149952171483e-7
10.7,6.171629061628613e-6,9.676125856144674e-7
10.8,6.4716936853225816e-6,1.0138728061770754e-6
10.9,6.782625853917699e-6,1.0617315436400847e-6
11.0,7.104706574116642e-6,1.1112246453033966e-6
11.1,7.438218524042169e-6,1.1623878428731737e-6
11.2,7.783445592688424e-6,1.2152566750044542e-6
11.3,8.140672411097795e-6,1.2698664088513448e-6
11.4,8.510183877196628e-6,1.326251960923112e-6
11.5,8.892264676159369e-6,1.384447817532095e-6
11.6,9.287198798100204e-6,1.444487955108775e-6
11.7,9.695269054818883e-6,1.5064057606492603e-6
11.8,1.0116756597243532e-5,1.5702339525447188e-6
11.9,1.0551940435135158e-5,1.6360045020323074e-6
12.0,1.1001096960532145e-5,1.703748555492946e-6
12.1,1.1464499476325158e-5,1.7734963578088077e-6
12.2,1.1942417731268684e-5,1.8452771769796658e-6
12.3,1.2435117462644182e-5,1.9191192301848802e-6
12.4,1.2942859947706429e-5,1.995049611464793e-6
12.5,1.3465901564953614e-5,2.0730942211820636e-6
12.6,1.4004493366180778e-5,2.153277697412909e-6
12.7,1.455888066018857e-5,2.235623349403233e-6
12.8,1.5129302608940312e-5,2.3201530932153524e-6
12.9,1.5715991836879355e-5,2.4068873896802484e-6
13.0,1.6319174054041112e-5,2.4958451847555202e-6
13.1,1.693906769352239e-5,2.587043852383802e-6
13.2,1.7575883563795388e-5,2.6804991399330444e-6
13.3,1.82298245162877e-5,2.776225116291086e-6
13.4,1.8901085128584602e-5,2.874234122679074e-6
13.5,1.9589851403543873e-5,2.9745367262386686e-6
13.6,2.0296300484560343e-5,3.0771416764390385e-6
13.7,2.1020600387154837e-5,3.182055864345147e-6
13.8,2.176290974701452e-5,3.289284284776171e-6
13.9,2.2523377584559496e-5,3.3988300013821904e-6
14.0,2.330214308606496e-5,3.510694114655442e-6
14.1,2.4099335401324306e-5,3.6248757328903763e-6
14.2,2.4915073457799405e-5,3.741371946097984e-6
14.3,2.574946579116516e-5,3.8601778028774665e-6
14.4,2.6602610392122918e-5,3.981286290240017e-6
14.5,2.7474594569323617e-5,4.104688316378736e-6
14.6,2.8365494828213696e-5,4.230372696369781e-6
14.7,2.9275376765589434e-5,4.358326140790605e-6
14.8,3.0204294979621818e-5,4.4885332472326786e-6
14.9,3.1152292995091726e-5,4.620976494686863e-6
15.0,3.211940320355533e-5,4.755636240771805e-6
15.1,3.310564681814292e-5,4.892490721777434e-6
15.2,3.411103384267744e-5,5.0315160554881116e-6
15.3,3.513556305478745e-5,5.172686246749991e-6
15.4,3.6179222002673325e-5,5.315973195744505e-6
15.5,3.72419870151807e-5,5.461346708925958e-6
15.6,3.8323823224820586e-5,5.608774512579901e-6
15.7,3.942468460337267e-5,5.758222268956973e-6
15.8,4.0544514009699275e-5,5.90965359493431e-6
15.9,4.168324324939455e-5,6.063030083154812e-6
16.0,4.284079314588918e-5,6.21831132559282e-6
16.1,4.4017073622627176e-5,6.375454939493111e-6
16.2,4.521198379593105e-5,6.53441659562774e-6
16.3,4.642541207817152e-5,6.695150048814797e-6
16.4,4.765723629085463e-5,6.857607170640857e-6
16.5,4.890732378724431e-5,7.021737984326873e-6
16.6,5.0175531584136213e-5,7.187490701677815e-6
16.7,5.1461706502402473e-5,7.354811762052189e-6
16.8,5.276568531593047e-5,7.523645873289517e-6
16.9,5.408729490857809e-5,7.69393605452919e-6
17.0,5.54263524387771e-5,7.865623680856268e-6
17.1,5.6782665511413786e-5,8.038648529705788e-6
17.2,5.815603235662635e-5,8.212948828957771e-6
17.3,5.954624201515844e-5,8.38846130665414e-6
17.4,6.095307452991507e-5,8.565121242266322e-6
17.5,6.237630114337272e-5,8.742862519442721e-6
17.6,6.381568450049883e-5,8.921617680164598e-6
17.7,6.52709788568429e-5,9.101317980235988e-6
17.8,6.674193029146644e-5,9.281893446035759e-6
17.9,6.822827692438372e-5,9.463272932455525e-6
18.0,6.972974913819353e-5,9.645384181950172e-6
18.1,7.124606980358415e-5,9.828153884623998e-6
18.2,7.277695450840395e-5,1.0011507739277158e-5
18.3,7.432211178999237e-5,1.019537051533538e-5
18.4,7.588124337047407e-5,1.037966611558629e-5
18.5,7.745404439472419e-5,1.0564317639644541e-5
18.6,7.90402036707193e-5,1.0749247448069266e-5
18.7,8.063940391199326e-5,1.0934377227054776e-5
18.8,8.22513219819256e-5,1.1119628053618123e-5
18.9,8.387562913959321e-5,1.130492046120484e-5
19.0,8.551199128692421e-5,1.1490174505635372e-5
19.1,8.716006921689781e-5,1.1675309831315425e-5
19.2,8.881951886254041e-5,1.186024573763185e-5
19.3,9.048999154647373e-5,1.204490124545808e-5
19.4,9.217113423077672e-5,1.222919516369221e-5
19.5,9.38625897669294e-5,1.2413046155751899e-5
19.6,9.556399714561066e-5,1.2596372805950576e-5
19.7,9.727499174613242e-5,1.2779093685681062e-5
19.8,9.899520558529137e-5,1.2961127419331518e-5
19.9,0.00010072426756543218,1.3142392749861586e-5
20.0,0.0001024618037215177,1.3322808603966886e-5
20.1,0.0001042074374670076,1.3502294156760264e-5
